areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,18/11/2020,20748
K02000001,United Kingdom,overview,17/11/2020,23165
K02000001,United Kingdom,overview,16/11/2020,26572
K02000001,United Kingdom,overview,15/11/2020,16018
K02000001,United Kingdom,overview,14/11/2020,17983
K02000001,United Kingdom,overview,13/11/2020,24027
K02000001,United Kingdom,overview,12/11/2020,24459
K02000001,United Kingdom,overview,11/11/2020,27344
K02000001,United Kingdom,overview,10/11/2020,27409
K02000001,United Kingdom,overview,09/11/2020,31039
K02000001,United Kingdom,overview,08/11/2020,19957
K02000001,United Kingdom,overview,07/11/2020,18515
K02000001,United Kingdom,overview,06/11/2020,23320
K02000001,United Kingdom,overview,05/11/2020,23733
K02000001,United Kingdom,overview,04/11/2020,23668
K02000001,United Kingdom,overview,03/11/2020,25575
K02000001,United Kingdom,overview,02/11/2020,31507
K02000001,United Kingdom,overview,01/11/2020,15748
K02000001,United Kingdom,overview,31/10/2020,16479
K02000001,United Kingdom,overview,30/10/2020,22649
K02000001,United Kingdom,overview,29/10/2020,23333
K02000001,United Kingdom,overview,28/10/2020,23604
K02000001,United Kingdom,overview,27/10/2020,24075
K02000001,United Kingdom,overview,26/10/2020,26543
K02000001,United Kingdom,overview,25/10/2020,15715
K02000001,United Kingdom,overview,24/10/2020,16220
K02000001,United Kingdom,overview,23/10/2020,21449
K02000001,United Kingdom,overview,22/10/2020,23223
K02000001,United Kingdom,overview,21/10/2020,25422
K02000001,United Kingdom,overview,20/10/2020,25310
K02000001,United Kingdom,overview,19/10/2020,25602
K02000001,United Kingdom,overview,18/10/2020,14190
K02000001,United Kingdom,overview,17/10/2020,14747
K02000001,United Kingdom,overview,16/10/2020,17709
K02000001,United Kingdom,overview,15/10/2020,18415
K02000001,United Kingdom,overview,14/10/2020,19686
K02000001,United Kingdom,overview,13/10/2020,18874
K02000001,United Kingdom,overview,12/10/2020,19417
K02000001,United Kingdom,overview,11/10/2020,12055
K02000001,United Kingdom,overview,10/10/2020,12500
K02000001,United Kingdom,overview,09/10/2020,15712
K02000001,United Kingdom,overview,08/10/2020,18225
