RegionName,date,HouseRegionMedianPrice
North East, 9/30/2000,52000
North East, 6/30/2001,52500
North East, 9/30/2001,53750
North East,12/31/2001,55000
North East, 3/31/2002,56000
North East, 6/30/2002,57950
North East, 9/30/2002,59500
North East,12/31/2002,60000
North East, 3/31/2003,64000
North East, 6/30/2003,67500
North East, 9/30/2003,72000
North East,12/31/2003,77950
North East, 3/31/2004,81000
North East, 6/30/2004,87000
North East, 9/30/2004,92000
North East,12/31/2004,96000
North East, 3/31/2005,99950
North East, 6/30/2005,102000
North East, 9/30/2005,105000
North East,12/31/2005,108943.5
North East, 3/31/2006,110000
North East, 6/30/2006,115000
North East, 9/30/2006,117000
North East, 3/31/2012,117500
North East,12/31/2011,117500
North East, 6/30/2012,117500
North East, 6/30/2009,118000
North East, 9/30/2009,118000
North East, 9/30/2011,118950
North East, 9/30/2012,119000
North East,12/31/2006,119000
North East, 3/31/2009,119995
North East, 6/30/2007,120000
North East,12/31/2012,120000
North East,12/31/2009,120000
North East, 6/30/2013,120000
North East, 3/31/2013,120000
North East,12/31/2008,120000
North East, 3/31/2007,120000
North East, 6/30/2011,120000
North East, 9/30/2013,121000
North East, 9/30/2007,122000
North East, 3/31/2011,122000
North East, 9/30/2008,122000
North East, 3/31/2010,122000
North East,12/31/2010,122000
North East,12/31/2013,122500
North East,12/31/2007,122500
North East, 3/31/2008,123000
North East, 6/30/2010,123000
North East, 6/30/2008,123000
North East, 3/31/2014,124000
North East, 9/30/2010,124950
North East, 6/30/2014,124995
North East, 9/30/2014,125000
North East,12/31/2014,125897.5
North East, 3/31/2015,128650
North East, 6/30/2015,130000
North East, 9/30/2015,130500
North East, 3/31/2016,132000
North East,12/31/2015,132500
North East, 6/30/2016,133000
North East, 9/30/2016,133500
North East,12/31/2016,134950
North East, 3/31/2017,135000
North East, 9/30/2017,135000
North East, 6/30/2017,135000
North East,12/31/2017,136000
North East,  4/1/2018,137500
North East,  6/1/2018,138000
North East,  9/1/2018,139995
North East, 12/1/2018,140000
North East,  3/1/2019,140000
North East,  6/1/2019,140000
North East,  6/1/2020,141500
North East, 12/1/2019,142000
North East,  9/1/2019,142000
North East,  9/1/2020,142000
North East,  3/1/2020,142500
North East, 12/1/2020,145000
North East,  3/1/2021,147000
North West, 6/30/1996,45000
North West,12/31/1995,45000
North West, 3/31/1996,45000
North West, 9/30/1996,45750
North West,12/31/1996,46320
North West, 3/31/1997,47000
North West, 6/30/1997,48000
North West, 9/30/1997,48500
North West,12/31/1997,49000
North West, 3/31/1998,49450
North West, 6/30/1998,49950
North West,12/31/1998,50000
North West, 9/30/1998,50000
North West, 3/31/1999,51000
North West, 6/30/1999,51500
North West, 9/30/1999,52500
North West,12/31/1999,53635
North West, 3/31/2000,54500
North West, 6/30/2000,55000
North West, 9/30/2000,56000
North West,12/31/2000,56500
North West, 3/31/2001,57000
North West, 6/30/2001,58000
North West, 9/30/2001,59950
North West,12/31/2001,60000
North West, 3/31/2002,62000
North West, 6/30/2002,64950
North West, 9/30/2002,67500
North West,12/31/2002,70000
North West, 3/31/2003,73500
North West, 6/30/2003,76500
North West, 9/30/2003,80000
North West,12/31/2003,85000
North West, 3/31/2004,89500
North West, 6/30/2004,95000
North West, 9/30/2004,100636
North West,12/31/2004,108000
North West, 3/31/2005,112000
North West, 6/30/2005,115000
North West, 9/30/2005,116500
North West,12/31/2005,119000
North West, 3/31/2006,119995
North West, 6/30/2006,121000
North West, 9/30/2009,125000
North West, 6/30/2009,125000
North West, 9/30/2006,125000
North West, 3/31/2009,127000
North West,12/31/2011,127000
North West, 9/30/2011,127500
North West,12/31/2006,127900
North West, 3/31/2012,128000
North West, 6/30/2012,129000
North West, 9/30/2012,129000
North West, 6/30/2011,129000
North West,12/31/2008,129950
North West, 3/31/2013,129950
North West, 6/30/2013,130000
North West, 3/31/2007,130000
North West, 6/30/2010,130000
North West, 3/31/2010,130000
North West, 3/31/2011,130000
North West,12/31/2012,130000
North West,12/31/2009,130000
North West, 9/30/2013,130000
North West,12/31/2010,130000
North West, 6/30/2007,131500
North West,12/31/2013,132000
North West, 9/30/2010,132000
North West, 9/30/2008,132500
North West, 3/31/2014,133000
North West, 9/30/2007,133500
North West, 6/30/2008,134950
North West,12/31/2007,134950
North West, 6/30/2014,135000
North West, 3/31/2008,135000
North West, 9/30/2014,137000
North West,12/31/2014,138500
North West, 6/30/2015,140000
North West, 3/31/2015,140000
North West, 9/30/2015,142500
North West,12/31/2015,145000
North West, 3/31/2016,145000
North West, 6/30/2016,146000
North West, 9/30/2016,148000
North West,12/31/2016,150000
North West, 3/31/2017,151952
North West, 6/30/2017,152500
North West, 9/30/2017,155000
North West,12/31/2017,157000
North West,  4/1/2018,158000
North West,  6/1/2018,160000
North West,  9/1/2018,160000
North West, 12/1/2018,161000
North West,  3/1/2019,162000
North West,  6/1/2019,164843
North West,  9/1/2019,165000
North West, 12/1/2019,167500
North West,  6/1/2020,170000
North West,  9/1/2020,170000
North West,  3/1/2020,170000
North West, 12/1/2020,175000
North West,  3/1/2021,181250
South East,12/31/1995,65000
South East, 3/31/1996,65250
South East, 6/30/1996,66000
South East, 9/30/1996,67500
South East,12/31/1996,68500
South East, 3/31/1997,69500
South East, 6/30/1997,70950
South East, 9/30/1997,72500
South East,12/31/1997,74500
South East, 3/31/1998,76000
South East, 6/30/1998,78500
South East, 9/30/1998,81000
South East,12/31/1998,83000
South East, 3/31/1999,84500
South East, 6/30/1999,86000
South East, 9/30/1999,89000
South East,12/31/1999,92500
South East, 3/31/2000,95500
South East, 6/30/2000,100000
South East, 9/30/2000,106950
South East,12/31/2000,112000
South East, 3/31/2001,115000
South East, 6/30/2001,119000
South East, 9/30/2001,123000
South East,12/31/2001,126000
South East, 3/31/2002,129000
South East, 6/30/2002,134000
South East, 9/30/2002,140000
South East,12/31/2002,148000
South East, 3/31/2003,153000
South East, 6/30/2003,159950
South East, 9/30/2003,165000
South East,12/31/2003,169950
South East, 3/31/2004,172000
South East, 6/30/2004,176000
South East, 9/30/2004,181000
South East,12/31/2004,185000
South East, 3/31/2005,188000
South East, 9/30/2005,190000
South East, 6/30/2005,190000
South East,12/31/2005,192000
South East, 3/31/2006,192500
South East, 6/30/2006,195000
South East, 9/30/2006,199000
South East, 9/30/2009,200000
South East, 6/30/2009,200000
South East,12/31/2006,202500
South East,12/31/2009,203000
South East, 3/31/2007,205000
South East, 3/31/2009,210000
South East, 6/30/2007,210000
South East, 3/31/2010,210000
South East, 9/30/2007,215000
South East,12/31/2008,215000
South East, 6/30/2010,216000
South East,12/31/2007,219950
South East, 9/30/2008,220000
South East, 3/31/2008,220500
South East, 3/31/2012,221000
South East,12/31/2011,223000
South East, 9/30/2010,223000
South East, 6/30/2008,223000
South East, 9/30/2011,224950
South East, 9/30/2012,225000
South East, 6/30/2011,225000
South East, 6/30/2012,225000
South East, 3/31/2011,225950
South East,12/31/2010,229000
South East,12/31/2012,229200
South East, 3/31/2013,230000
South East, 6/30/2013,232000
South East, 9/30/2013,234000
South East,12/31/2013,235000
South East, 3/31/2014,238000
South East, 6/30/2014,240000
South East, 9/30/2014,245000
South East,12/31/2014,249950
South East, 3/31/2015,250000
South East, 6/30/2015,254000
South East, 9/30/2015,265000
South East,12/31/2015,273500
South East, 3/31/2016,279345
South East, 6/30/2016,285000
South East, 9/30/2016,290000
South East,12/31/2016,295500
South East, 3/31/2017,301950
South East, 6/30/2017,306000
South East, 9/30/2017,310000
South East,12/31/2017,315000
South East,  4/1/2018,317000
South East,  6/1/2018,320000
South East,  9/1/2018,320000
South East,  3/1/2019,320000
South East, 12/1/2018,320000
South East,  6/1/2019,321000
South East,  9/1/2019,323000
South East,  3/1/2020,325000
South East,  6/1/2020,325000
South East, 12/1/2019,325000
South East,  9/1/2020,330000
South East, 12/1/2020,343000
